Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,44.90999984741211,46.5,42.79999923706055,42.81999969482422,42.81999969482422,34082600
2021-12-02,43.060001373291016,43.15999984741211,41.75,42.650001525878906,42.650001525878906,24374800
2021-12-03,42.81999969482422,43.099998474121094,41.0099983215332,42.06999969482422,42.06999969482422,26110100
2021-12-06,42.11000061035156,44.720001220703125,41.75,44.470001220703125,44.470001220703125,26228700
2021-12-07,45.06999969482422,46.34000015258789,44.31999969482422,44.459999084472656,44.459999084472656,21200500
2021-12-08,44.599998474121094,46.20000076293945,44.34000015258789,45.720001220703125,45.720001220703125,18408200
2021-12-09,47.209999084472656,48.220001220703125,46.40999984741211,46.459999084472656,46.459999084472656,26145200
2021-12-10,46.599998474121094,46.599998474121094,44.970001220703125,45.560001373291016,45.560001373291016,14046200
2021-12-13,45.54999923706055,45.900001525878906,43.779998779296875,44.599998474121094,44.599998474121094,11710300
2021-12-14,44.040000915527344,44.689998626708984,43.70000076293945,44.349998474121094,44.349998474121094,11205400
2021-12-15,44.0,44.2400016784668,42.7400016784668,44.06999969482422,44.06999969482422,14962100
2021-12-16,44.43000030517578,45.029998779296875,42.720001220703125,43.130001068115234,43.130001068115234,13052600
2021-12-17,42.70000076293945,44.029998779296875,41.630001068115234,43.06999969482422,43.06999969482422,29132600
2021-12-20,42.369998931884766,43.27000045776367,41.790000915527344,42.97999954223633,42.97999954223633,12319500
2021-12-21,43.22999954223633,44.45000076293945,42.72999954223633,44.36000061035156,44.36000061035156,9537400
2021-12-22,44.04999923706055,44.560001373291016,43.630001068115234,43.900001525878906,43.900001525878906,10134800
2021-12-23,44.0,44.529998779296875,43.0,44.15999984741211,44.15999984741211,8977600
2021-12-27,44.209999084472656,44.91999816894531,44.130001068115234,44.33000183105469,44.33000183105469,8589700
2021-12-28,44.209999084472656,44.779998779296875,43.22999954223633,43.43000030517578,43.43000030517578,8831000
2021-12-29,43.16999816894531,43.54999923706055,42.560001373291016,42.7599983215332,42.7599983215332,8732900
2021-12-30,42.77000045776367,45.09000015258789,42.630001068115234,44.459999084472656,44.459999084472656,14541100
2021-12-31,44.34000015258789,44.7599983215332,43.18000030517578,43.220001220703125,43.220001220703125,9829600
2022-01-03,43.5,43.689998626708984,42.47999954223633,42.65999984741211,42.65999984741211,14431900
2022-01-04,42.849998474121094,42.970001220703125,40.36000061035156,40.849998474121094,40.849998474121094,21422400
